antecedents,consequents,support,confidence,lift
"frozenset({'plastic wrap', 'plastic bag'})",frozenset({'coffee cup lid'}),0.10952380952380952,0.92,2.220689655172414
frozenset({'coffee cup sleeve'}),"frozenset({'coffee cup lid', 'plastic cup'})",0.20952380952380953,0.7719298245614036,2.2206200432588323
"frozenset({'coffee cup', 'plastic straw'})",frozenset({'coffee cup lid'}),0.3238095238095238,0.9189189189189189,2.218080149114632
frozenset({'coffee cup lid'}),"frozenset({'coffee cup', 'plastic straw'})",0.3238095238095238,0.7816091954022988,2.2180801491146314
frozenset({'banana peel'}),"frozenset({'plastic lid', 'coffee cup'})",0.13333333333333333,0.8235294117647058,2.2171945701357463
"frozenset({'coffee cup', 'food box'})",frozenset({'coffee cup lid'}),0.2619047619047619,0.9166666666666667,2.21264367816092
"frozenset({'coffee cup sleeve', 'paper wrapper'})",frozenset({'coffee cup lid'}),0.10476190476190476,0.9166666666666667,2.21264367816092
frozenset({'waxed food paper'}),"frozenset({'plastic cutlery', 'coffee cup lid'})",0.1,0.7777777777777779,2.2072072072072073
frozenset({'waxed food paper'}),"frozenset({'plastic lid', 'coffee cup lid'})",0.1,0.7777777777777779,2.2072072072072073
"frozenset({'plastic wrap', 'waxed food paper'})",frozenset({'coffee cup lid'}),0.1,0.9130434782608696,2.2038980509745127
frozenset({'coffee cup'}),"frozenset({'plastic cutlery', 'coffee cup lid'})",0.3476190476190476,0.776595744680851,2.2038527889591717
"frozenset({'plastic cutlery', 'coffee cup lid'})",frozenset({'coffee cup'}),0.3476190476190476,0.9864864864864864,2.2038527889591717
"frozenset({'plastic lid', 'coffee cup lid'})",frozenset({'coffee cup'}),0.3476190476190476,0.9864864864864864,2.2038527889591717
frozenset({'coffee cup'}),"frozenset({'plastic lid', 'coffee cup lid'})",0.3476190476190476,0.776595744680851,2.2038527889591717
frozenset({'coffee cup'}),"frozenset({'coffee cup lid', 'plastic cup'})",0.34285714285714286,0.7659574468085106,2.2034392305450305
"frozenset({'coffee cup lid', 'plastic cup'})",frozenset({'coffee cup'}),0.34285714285714286,0.9863013698630138,2.2034392305450305
"frozenset({'coffee cup lid', 'plastic straw'})",frozenset({'coffee cup'}),0.3238095238095238,0.9855072463768116,2.201665124884366
"frozenset({'plastic container', 'coffee cup lid'})",frozenset({'coffee cup'}),0.3238095238095238,0.9855072463768116,2.201665124884366
"frozenset({'food scraps', 'coffee cup lid'})",frozenset({'coffee cup'}),0.319047619047619,0.9852941176470587,2.2011889862327907
frozenset({'banana peel'}),"frozenset({'plastic container', 'coffee cup'})",0.12380952380952381,0.7647058823529411,2.199838839645447
frozenset({'plastic bag'}),"frozenset({'plastic container', 'food box'})",0.15714285714285714,0.8048780487804877,2.1951219512195124
"frozenset({'napkin', 'coffee cup'})",frozenset({'coffee cup lid'}),0.38095238095238093,0.9090909090909091,2.19435736677116
"frozenset({'coffee cup', 'liquids'})",frozenset({'coffee cup lid'}),0.19047619047619047,0.9090909090909091,2.19435736677116
frozenset({'coffee cup lid'}),"frozenset({'napkin', 'coffee cup'})",0.38095238095238093,0.9195402298850573,2.1943573667711593
frozenset({'banana peel'}),"frozenset({'plastic wrap', 'plastic lid'})",0.12857142857142856,0.7941176470588234,2.1942724458204332
frozenset({'banana peel'}),"frozenset({'plastic wrap', 'plastic cutlery'})",0.12857142857142856,0.7941176470588234,2.1942724458204332
frozenset({'banana peel'}),"frozenset({'plastic wrap', 'wrapper'})",0.12857142857142856,0.7941176470588234,2.1942724458204332
"frozenset({'plastic cutlery', 'coffee cup sleeve'})",frozenset({'coffee cup lid'}),0.18571428571428572,0.9069767441860466,2.18925421010425
"frozenset({'plastic container', 'coffee cup sleeve'})",frozenset({'coffee cup lid'}),0.18571428571428572,0.9069767441860466,2.18925421010425
